tract_index,dist_to_nearest_h2s_km,dist_to_top_closure_beach_km,h2s_proximity_category
190,12.725087941652037,8.489949482725438,10+ km
191,14.418345334041744,13.256906309010068,10+ km
192,13.125077630597676,8.366512218478853,10+ km
193,12.053526943045696,7.568904457505007,10+ km
194,14.296872792591483,9.213131651634793,10+ km
195,14.439807574457639,9.81513743760444,10+ km
196,13.44754926131802,8.228856380994742,10+ km
197,12.62313499632018,7.490594087910767,10+ km
198,12.008963636302223,7.165002614742793,10+ km
199,11.312352683176673,6.548704422785652,10+ km
200,11.141142397534514,5.545121219752693,10+ km
201,13.234681879859668,7.659380161781575,10+ km
202,12.501021356437791,6.926859476267644,10+ km
203,13.813082304437781,8.22069002666883,10+ km
204,9.172296320662031,13.962640000326543,5-10 km
205,10.1140781480341,15.479786221600762,10+ km
206,7.275780356758401,13.3429602374619,5-10 km
207,2.826043372764071,9.770385419077973,1-3 km
208,21.899652285249697,15.708982168383491,10+ km
209,16.487464760999124,10.521113138886403,10+ km
210,18.58341806181775,12.924268432401476,10+ km
211,19.51815104262873,21.361822460273785,10+ km
212,10.760438090397745,17.137708354801298,10+ km
213,10.168610544323874,14.923993062836548,10+ km
214,14.30574715428565,8.174284808207348,10+ km
215,14.189999501127275,8.119125785783783,10+ km
216,7.914872880128907,11.778917609284338,5-10 km
217,3.9373855867369874,11.214204945279032,3-5 km
218,11.426723210109419,17.43950669811395,10+ km
219,13.278238853680337,7.075034412441092,10+ km
220,14.394070391407245,8.20760643901274,10+ km
221,18.466131228343272,12.30977443679027,10+ km
222,18.22246991122879,12.11844345014016,10+ km
223,43.30112338270456,36.96867241922036,10+ km
224,15.136334043775216,11.062837243383617,10+ km
225,15.035892757985126,11.5095978827986,10+ km
226,13.085076798716258,9.202564835215028,10+ km
227,9.261021238380751,9.935839275436766,5-10 km
228,22.113237673830987,26.512648464010958,10+ km
229,3.238368564583016,7.374267633009232,3-5 km
230,16.76372101268667,11.100464861144115,10+ km
231,15.549396503401606,9.884502669335147,10+ km
232,14.764223559164337,8.791172338940067,10+ km
233,14.032726332402111,8.040140058633188,10+ km
234,13.91464852668832,8.059034001025555,10+ km
235,13.195599878776132,7.318253375999239,10+ km
236,15.771790964342188,9.787506193703914,10+ km
237,16.25766967331426,10.076124961784359,10+ km
238,17.452954424814255,11.281389016600915,10+ km
239,17.749448587612598,11.505440081554788,10+ km
240,18.982460091947544,12.653045703998748,10+ km
241,11.130083967751426,6.925259985380323,10+ km
242,19.858204843790478,13.523663727164426,10+ km
243,20.3075482238125,13.992042236589201,10+ km
244,20.007094858690955,13.776120747655881,10+ km
245,3.4539861821217412,7.365427783115946,3-5 km
246,2.973043892839477,8.38113655830519,1-3 km
247,2.2658738921187376,7.614497137073634,1-3 km
248,11.22152976835286,7.874520937926521,10+ km
249,11.176042017147793,8.102961598358553,10+ km
250,9.224172453865338,6.127043760650335,5-10 km
251,20.183263835514012,14.123282139725129,10+ km
252,20.80856117601118,14.609034883491356,10+ km
253,22.198655491355908,15.92722411428511,10+ km
254,22.15560129064014,15.924402733038477,10+ km
255,1.0857357416546227,6.827773326511043,1-3 km
256,2.5687483701423504,6.535379717569941,1-3 km
257,0.5678268571865461,7.5468041273058555,0-1 km
258,1.926537977200344,5.724479035303297,1-3 km
259,1.266700612565323,5.149515833339364,1-3 km
260,10.03370942516035,7.173384532629764,10+ km
261,6.91198903306182,5.9276062383276455,5-10 km
262,7.459142095139583,6.9246335019581755,5-10 km
