station_id,station_name,station_name_clean,beach_name,beach_name_clean,study_group,impact_level,station_lat,station_lon,active_advisory_record_days,active_closure_record_days,active_posting_record_days,active_bacteria_related_record_days,active_tijuana_river_related_record_days,active_sewage_infrastructure_record_days,active_sewage_related_record_days
911,FM-090,FM-090,Torrey Pines State Beach,Torrey Pines State Beach,Other San Diego Beaches,1,32.8778,-117.2514,2,0,2,2,0,0,0
1036,IB-069,IB-069,Silver Strand State Beach,Silver Strand State Beach,South Bay / Tijuana River Impact,1,32.631769,-117.141885,75,0,75,75,0,0,0
1037,IB-068,IB-068,Silver Strand State Beach,Silver Strand State Beach,South Bay / Tijuana River Impact,1,32.626401,-117.139424,66,0,66,66,0,0,0
1038,IB-079,IB-079,Coronado City beaches,Coronado City beaches,South Bay / Tijuana River Impact,1,32.674066,-117.1723,296,0,296,296,0,0,0
1038,IB-079,IB-079,Coronado City beaches,Coronado City beaches,South Bay / Tijuana River Impact,2,32.674066,-117.1723,455,455,0,367,455,0,455
1108,MB-226,MB-226,Mission Bay,Mission Bay,Comparison Beaches,1,32.760746,-117.247827,48,0,48,48,0,0,0
1117,EH-063,EH-063,Coronado north beach,Coronado north beach,South Bay / Tijuana River Impact,2,32.700209,-117.172758,13,13,0,0,0,13,13
1121,MB-115,MB-115,Mission Beach,Mission Beach,Comparison Beaches,1,32.75968,-117.254057,36,0,36,36,0,0,0
1126,EH-530,EH-530,San Diego Bay,San Diego Bay,Other San Diego Beaches,2,32.695862,-117.1506976,11,11,0,0,0,11,11
1128,EH-540,EH-540,San Diego Bay,San Diego Bay,Other San Diego Beaches,2,32.7083867,-117.1702694,7,7,0,0,0,7,7
1129,EH-545,EH-545,San Diego Bay,San Diego Bay,Other San Diego Beaches,2,32.7113073,-117.1729191,13,13,0,0,0,13,13
1133,EH-565,EH-565,San Diego Bay,San Diego Bay,Other San Diego Beaches,2,32.7168445,-117.1734599,5,5,0,0,0,5,5
1134,MB-047,MB-047,Mission Bay,Mission Bay,Comparison Beaches,2,32.776368,-117.210759,2,2,0,0,0,2,2
1135,MB-045,MB-045,Mission Bay,Mission Bay,Comparison Beaches,2,32.782904,-117.216885,2,2,0,0,0,2,2
1136,MB-046,MB-046,Mission Bay,Mission Bay,Comparison Beaches,2,32.784041,-117.211284,2,2,0,0,0,2,2
1142,EH-253A,EH-253A,Pacific Beach,Pacific Beach,Comparison Beaches,2,32.800137,-117.258937,2,2,0,0,0,2,2
1143,EH-253B,EH-253B,Pacific Beach,Pacific Beach,Comparison Beaches,2,32.799262,-117.258532,2,2,0,0,0,2,2
1144,EH-570,EH-570,Pacific Beach,Pacific Beach,Comparison Beaches,2,32.798919,-117.258353,2,2,0,0,0,2,2
1145,EH-571,EH-571,Pacific Beach,Pacific Beach,Comparison Beaches,2,32.801575,-117.259625,2,2,0,0,0,2,2
1146,EH-572,EH-572,Pacific Beach,Pacific Beach,Comparison Beaches,2,32.795339,-117.256673,2,2,0,0,0,2,2
1147,EH-573,EH-573,Pacific Beach,Pacific Beach,Comparison Beaches,2,32.804155,-117.26144,2,2,0,0,0,2,2
1150,EH-254,EH-254,Pacific Beach,Pacific Beach,Comparison Beaches,1,32.801389,-117.259444,8,0,8,8,0,0,0
1151,EH-574,EH-574,La Jolla Shores Beach,La Jolla Shores Beach,Comparison Beaches,2,32.85056,-117.26362,2,2,0,0,0,2,2
1152,EH-575,EH-575,Coronado Cays (NR),Coronado Cays (NR),South Bay / Tijuana River Impact,2,32.628128,-117.136215,2,2,0,0,0,2,2
1153,EH-576,EH-576,Coronado Cays (NR),Coronado Cays (NR),South Bay / Tijuana River Impact,2,32.630989,-117.135924,2,2,0,0,0,2,2
1154,MB-043,MB-043,Mission Bay,Mission Bay,Comparison Beaches,2,32.769535,-117.21122,4,4,0,4,0,4,4
1155,MB-227,MB-227,Mission Bay,Mission Bay,Comparison Beaches,2,32.78845,-117.20963,22,22,0,12,0,22,22
