datetime_local,date,year,month,hour,station_name_clean,location_clean,h2s_ppb,h2s_level_clean,elevated_h2s_event,orange_h2s_event,valid_h2s_record,h2s_ppb_original,h2s_ppb_clean,h2s_level,exceedance_30ppb,exceedance_200ppb,nighttime_flag,analysis_period,review_status,negative_value_flag,missing_h2s_flag,source,source_note,notes
2024-10-12 10:00:00,2024-10-12,2024,2024-10,10,San Ysidro - Fire Station #29,SAN YSIDRO,0.5,Green (0-4.9 ppB),False,False,True,0.5,0.5,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 11:00:00,2024-10-12,2024,2024-10,11,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.7,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 11:00:00,2024-10-12,2024,2024-10,11,San Ysidro - Fire Station #29,SAN YSIDRO,1.4,Green (0-4.9 ppB),False,False,True,1.4,1.4,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 12:00:00,2024-10-12,2024,2024-10,12,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.5,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 12:00:00,2024-10-12,2024,2024-10,12,San Ysidro - Fire Station #29,SAN YSIDRO,0.7,Green (0-4.9 ppB),False,False,True,0.7,0.7,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 13:00:00,2024-10-12,2024,2024-10,13,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.5,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 13:00:00,2024-10-12,2024,2024-10,13,San Ysidro - Fire Station #29,SAN YSIDRO,0.6,Green (0-4.9 ppB),False,False,True,0.6,0.6,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 14:00:00,2024-10-12,2024,2024-10,14,Nestor - Berry Elementary School,NESTOR - BES,,Missing/Not visible,False,False,False,-0.6,,Missing/Not visible,0,0,0,Immediate post-emergency,numeric,1,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-12 14:00:00,2024-10-12,2024,2024-10,14,San Ysidro - Fire Station #29,SAN YSIDRO,0.4,Green (0-4.9 ppB),False,False,True,0.4,0.4,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
2024-10-21 17:00:09,2024-10-21,2024,2024-10,17,San Ysidro - Fire Station #29,SAN YSIDRO,0.3,Green (0-4.9 ppB),False,False,True,0.3,0.3,Green (0-4.9 ppB),0,0,0,Immediate post-emergency,numeric,0,0,SDAPCD Power BI dashboard screen recording,Manually extracted from SDAPCD public Power BI/dashboard screen recording,from initial screen-recording extraction
