station_id,station_agency_id,beach_name_id,station_name,station_description,agency_station_identifier,beach_name,beach_type,nearest_city,water_body_name,water_body_class,water_body_type,watershed_name,ab411_beach,usepa_id,beach_access,county,county_name,station_status,beach_status,agency_name,agency_jurisdiction,regional_board,regional_board_name,station_lat,station_lon,coordinate_source,beach_upper_lat,beach_upper_lon,beach_lower_lat,beach_lower_lon,beach_mid_lat,beach_mid_lon,valid_station_point
409,23,360,FM-010,San Diego River outlet,FM-010,"Dog Beach, O.B.",UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,San Diego River,Yes,CA316627,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.7561,-117.253576204,station_upper,32.75617,-117.252734,32.747069,-117.254253,32.751619500000004,-117.2534935,True
913,34,458,LAG Los Panasuitos,Los Panasquitos Lagoon,,Encinitas City Beaches,UNKNOWN,Encinitas,Pacific Ocean,Saltwater,Open Coast,Escondido Creek-San Luis Rey River,No,CA121276,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.887509,-117.250756,station_upper,33.086824,-117.313045,33.031856,-117.290849,33.05934,-117.301947,True
590,23,365,OC-100,San Luis Rey River outlet,OC-100,Harbor Beach,UNKNOWN,Oceanside,Pacific Ocean,Saltwater,Open Coast,Escondido Creek-San Luis Rey River,Yes,CA624767,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,33.201559515,-117.392202744,station_upper,33.206959,-117.398525,33.202442,-117.392907,33.2047005,-117.395716,True
591,23,365,OC-110,Harbor Beach,OC-110,Harbor Beach,UNKNOWN,Oceanside,Pacific Ocean,Saltwater,Open Coast,Escondido Creek-San Luis Rey River,Yes,CA624767,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,33.2044,-117.3941,station_upper,33.206959,-117.398525,33.202442,-117.392907,33.2047005,-117.395716,True
319,23,72,EH-010,Cortez Ave,EH-010,"Imperial Beach municipal beach, other",UNKNOWN,Imperial Beach,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA068221,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.572665227,-117.133201012,station_upper,32.587527,-117.132598,32.566219,-117.133006,32.576873,-117.132802,True
320,23,72,EH-020,Imperial Beach Boulevard,EH-020,"Imperial Beach municipal beach, other",UNKNOWN,Imperial Beach,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA068221,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.576873,-117.132802,beach_midpoint,32.587527,-117.132598,32.566219,-117.133006,32.576873,-117.132802,True
1113,35,72,IB-045,Encanto Ave,,"Imperial Beach municipal beach, other",UNKNOWN,Imperial Beach,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA068221,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.569389,-117.133023,station_upper,32.587527,-117.132598,32.566219,-117.133006,32.576873,-117.132802,True
459,23,72,IB-050,End of Seacoast Dr,IB-050,"Imperial Beach municipal beach, other",UNKNOWN,Imperial Beach,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA068221,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.566577296,-117.133205028,station_upper,32.587527,-117.132598,32.566219,-117.133006,32.576873,-117.132802,True
637,23,72,PL-010,Palm Ave,PL-010,"Imperial Beach municipal beach, other",UNKNOWN,Imperial Beach,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA068221,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.5847,-117.133,station_upper,32.587527,-117.132598,32.566219,-117.133006,32.576873,-117.132802,True
321,23,367,EH-023,Ebony Ave,EH-023,Imperial Beach pier area,UNKNOWN,Imperial Beach,Pacific Ocean,Saltwater,Open Coast,San Diego River,No,CA432983,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.578155,-117.133347,station_upper,32.5804,-117.5866,32.1327,-117.1332,32.35655,-117.35990000000001,True
